City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Santa Luzia,BR,77.9,light rain,-19.7697,-43.8514,Pousada Chao Earth
2,Bosaso,SO,75.63,clear sky,11.2842,49.1816,Red Sea Hotel
6,Butaritari,KI,80.02,moderate rain,3.0707,172.7902,Isles Sunset Lodge
7,Cidreira,BR,81.23,few clouds,-30.1811,-50.2056,Hotel Castelo
10,Karratha,AU,82.51,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
20,Vila Velha,BR,77.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
26,Carnarvon,AU,79.25,clear sky,-24.8667,113.6333,Hospitality Carnarvon
28,Pitimbu,BR,84.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
31,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
36,San Isidro,PE,76.59,clear sky,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
38,Puerto Ayora,EC,82.36,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
40,Mahina,PF,83.97,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
46,Sao Filipe,CV,75.2,clear sky,14.8961,-24.4956,Hotel Xaguate
49,Kavaratti,IN,79.29,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
51,Kavieng,PG,80.26,light rain,-2.5744,150.7967,Nusa Island Retreat
53,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
55,Busselton,AU,76.08,broken clouds,-33.65,115.3333,Observatory Guest House
56,Talara,PE,86.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
58,Samarai,PG,79.79,overcast clouds,-10.6167,150.6667,Nuli Sapi
60,Arraial Do Cabo,BR,80.46,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
61,Atuona,PF,78.35,few clouds,-9.8,-139.0333,Villa Enata
63,Witu,KE,77.77,overcast clouds,-2.3889,40.4382,
66,Tambura,SS,83.28,overcast clouds,5.6,27.4667,Rikito Lodge
67,Miri,MY,76.51,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
70,Kieta,PG,77.72,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
72,Saint-Pierre,RE,80.24,heavy intensity rain,-21.3393,55.4781,Lindsey Hôtel
76,Hinatuan,PH,75.2,moderate rain,8.3722,126.3342,Villa Juanita Hinatuan
77,Rikitea,PF,77.36,light rain,-23.1203,-134.9692,People ThankYou
81,Sola,VU,77.68,overcast clouds,-13.8833,167.55,Leumerus Bungalows
89,Lorengau,PG,79.18,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
