City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,49.05,85,14,1.01,few clouds
1,Santa Luzia,BR,-19.7697,-43.8514,77.9,76,90,2.84,light rain
2,Bosaso,SO,11.2842,49.1816,75.63,72,1,4.7,clear sky
3,Almaznyy,RU,48.0448,40.045,42.94,99,100,7.2,light rain
4,Vostok,RU,46.4856,135.8833,-11.2,99,100,4.27,overcast clouds
5,Sayyan,YE,15.1718,44.3244,55.44,29,11,3.96,few clouds
6,Butaritari,KI,3.0707,172.7902,80.02,80,54,11.41,moderate rain
7,Cidreira,BR,-30.1811,-50.2056,81.23,72,14,16.04,few clouds
8,Mehamn,NO,71.0357,27.8492,24.98,93,75,9.22,broken clouds
9,Lodja,CD,-3.4833,23.4333,69.73,89,100,2.82,overcast clouds
10,Karratha,AU,-20.7377,116.8463,82.51,74,99,6.08,overcast clouds
11,Kapaa,US,22.0752,-159.319,71.92,65,20,11.5,few clouds
12,Mar Del Plata,AR,-38.0023,-57.5575,74.88,81,100,4.79,light rain
13,Punta Arenas,CL,-53.15,-70.9167,51.82,53,0,9.22,clear sky
14,Lovozero,RU,68.005,35.0117,3.16,100,100,3.42,overcast clouds
15,Ostrovnoy,RU,68.0531,39.5131,13.96,78,100,1.97,overcast clouds
16,Lebu,CL,-37.6167,-73.65,64.92,78,90,12.97,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,49.26,52,69,6.98,broken clouds
18,San Patricio,US,28.017,-97.5169,40.87,78,100,19.84,overcast clouds
19,Laguna,US,38.421,-121.4238,58.23,65,0,1.99,clear sky
20,Vila Velha,BR,-20.3297,-40.2925,77.95,87,75,9.22,broken clouds
21,East London,ZA,-33.0153,27.9116,72.14,87,99,14.99,light rain
22,Hamilton,US,39.1834,-84.5333,31.62,93,100,1.99,snow
23,Khatanga,RU,71.9667,102.5,-33.74,100,28,2.62,scattered clouds
24,Vaini,TO,-21.2,-175.2,71.76,100,20,2.3,few clouds
25,Broken Hill,AU,-31.95,141.4333,61.11,43,0,18.43,clear sky
26,Carnarvon,AU,-24.8667,113.6333,79.25,74,1,14.29,clear sky
27,Kadyy,RU,57.787,43.1903,1.65,100,95,2.48,overcast clouds
28,Pitimbu,BR,-7.4706,-34.8086,84.79,64,97,11.03,overcast clouds
29,Mataura,NZ,-46.1927,168.8643,52.48,96,100,1.88,light rain
30,Yatou,CN,37.15,122.3833,28.45,69,54,7.07,broken clouds
31,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,88,95,11.5,overcast clouds
32,Hermanus,ZA,-34.4187,19.2345,65.89,76,49,10.16,scattered clouds
33,Cape Town,ZA,-33.9258,18.4232,68.09,62,43,1.01,scattered clouds
