City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-01-30 17:34:24,-23.1203,-134.9692,76.17,61,59,4.29
1,Atuona,PF,2022-01-30 17:35:18,-9.8,-139.0333,77.22,79,10,13.2
2,Leningradskiy,RU,2022-01-30 17:35:18,69.3833,178.4167,-8.9,93,100,0.51
3,Yulara,AU,2022-01-30 17:34:33,-25.2406,130.9889,73.24,100,40,12.66
4,Punta Arenas,CL,2022-01-30 17:35:19,-53.15,-70.9167,51.91,46,75,28.77
5,Cabo San Lucas,MX,2022-01-30 17:35:19,22.8909,-109.9124,74.52,70,20,3.0
6,Norman Wells,CA,2022-01-30 17:35:19,65.282,-126.8329,-34.56,61,75,0.0
7,Barda,AZ,2022-01-30 17:35:19,40.3744,47.1267,41.68,43,86,1.16
8,Tuktoyaktuk,CA,2022-01-30 17:34:34,69.4541,-133.0374,-2.2,78,100,18.41
9,Hobart,AU,2022-01-30 17:35:20,-42.8794,147.3294,57.02,90,2,5.75
10,Barrow,US,2022-01-30 17:35:20,71.2906,-156.7887,-11.18,77,40,10.36
11,Mugumu,TZ,2022-01-30 17:35:20,-1.85,34.7,63.48,89,92,2.68
12,Pushkinskiye Gory,RU,2022-01-30 17:35:21,57.0209,28.9103,30.81,97,100,3.69
13,Eyl,SO,2022-01-30 17:35:21,7.9803,49.8164,75.54,75,100,16.44
14,Nome,US,2022-01-30 17:35:21,64.5011,-165.4064,-6.9,77,0,0.0
15,George,ZA,2022-01-30 17:35:21,-33.963,22.4617,67.55,88,75,9.22
16,Trairi,BR,2022-01-30 17:35:22,-3.2778,-39.2689,78.3,85,100,7.16
17,Richards Bay,ZA,2022-01-30 17:33:47,-28.783,32.0377,72.93,80,50,6.91
18,Busselton,AU,2022-01-30 17:35:22,-33.65,115.3333,64.09,78,3,18.39
19,Aripuana,BR,2022-01-30 17:35:22,-9.1667,-60.6333,75.43,97,100,3.89
20,Fortuna,US,2022-01-30 17:31:55,40.5982,-124.1573,46.65,97,100,0.0
21,Ngaoundere,CM,2022-01-30 17:35:23,7.3167,13.5833,68.61,19,47,6.08
22,Dikson,RU,2022-01-30 17:34:32,73.5069,80.5464,-1.12,92,100,21.39
23,Ushuaia,AR,2022-01-30 17:34:28,-54.8,-68.3,47.86,66,75,25.32
24,Cape Town,ZA,2022-01-30 17:31:24,-33.9258,18.4232,74.1,66,0,4.0
25,Kruisfontein,ZA,2022-01-30 17:35:23,-34.0033,24.7314,74.88,82,82,14.38
26,Yeppoon,AU,2022-01-30 17:35:23,-23.1333,150.7333,73.18,83,20,11.1
27,Esperance,AU,2022-01-30 17:35:23,-33.8667,121.9,69.64,65,60,10.38
28,Tigil,RU,2022-01-30 17:35:24,57.8,158.6667,16.12,87,100,13.4
29,Yatou,CN,2022-01-30 17:35:24,37.15,122.3833,28.96,58,0,3.91
30,Kodiak,US,2022-01-30 17:35:24,57.79,-152.4072,24.31,74,75,10.36
31,Bandarbeyla,SO,2022-01-30 17:35:25,9.4942,50.8122,76.05,73,56,15.95
32,Butaritari,KI,2022-01-30 17:35:25,3.0707,172.7902,81.75,77,64,21.74
33,Longyearbyen,SJ,2022-01-30 17:35:25,78.2186,15.6401,8.44,66,0,18.41
34,Kapaa,US,2022-01-30 17:35:26,22.0752,-159.319,71.92,75,20,1.99
35,Homer,US,2022-01-30 17:35:26,59.6425,-151.5483,24.67,87,100,8.05
36,Hermanus,ZA,2022-01-30 17:35:26,-34.4187,19.2345,74.8,71,40,17.34
37,Albany,US,2022-01-30 17:34:20,42.6001,-73.9662,21.15,36,42,7.0
38,Hilo,US,2022-01-30 17:33:13,19.7297,-155.09,67.62,74,40,3.44
39,Porto Da Folha,BR,2022-01-30 17:35:26,-9.9172,-37.2783,96.62,30,57,17.85
40,Katunino,RU,2022-01-30 17:35:27,64.3862,40.6298,13.89,95,100,5.55
41,Nizwa,OM,2022-01-30 17:35:27,22.9333,57.5333,71.47,33,0,0.27
42,Paamiut,GL,2022-01-30 17:35:27,61.994,-49.6678,10.04,69,100,11.1
43,Comodoro Rivadavia,AR,2022-01-30 17:35:28,-45.8667,-67.5,62.46,20,40,17.27
44,Clyde River,CA,2022-01-30 17:35:28,70.4692,-68.5914,-14.57,64,75,6.91
